ID,ContractName,Type,Address,ContractYear,From,To,Contractor,VAT%,Currency,MeasureUnit,Price/Unit,Price/Unit+VAT,BasePrice/Month,BasePrice/Month+VAT,Reserved-Unit,Price/Month,TotalPrice,Months,Bonus,Extras
StromJak138-19,StromJak138-19,Strom,Jakobstraße 138 1.OG,2019,01.10.2019,30.09.2020,Grünwelt,19,EUR,kWh,0.2318,0.2758,18.246498599,21.713333333,3500,103,1225.86,12,"[120,183]",
GasJak138-19,GasJak138-19,Gas,Jakobstraße 138 1.OG,2019,01.10.2019,30.09.2020,Unknown,19,EUR,kWh,0.0597,0.071,13.42,15.97,,,,24,[],
StromJak138-20/1,StromJak138-20,Strom,Jakobstraße 138 1.OG,2020,01.10.2020,31.12.2020,Vattenfall,16,EUR,kWh,0.2436,0.2826,8.681034483,10.07,1000,73,146,2,[170],
StromJak138-20/2,StromJak138-20,Strom,Jakobstraße 138 1.OG,2020,01.01.2021,30.09.2021,Vattenfall,19,EUR,kWh,0.2436,0.2899,9.798319328,11.66,2000,73,657,9,[145],
GasJak138-20,GasJak138-20,Gas,Jakobstraße 138 1.OG,2020,01.10.2020,30.09.2021,Unknown,19,EUR,kWh,0.0622,0.074,13.42,15.97,,,,24,[],
StromKar39-21,StromKar39-21,Strom,Karlsgraben 39 EG,2021,01.10.2021,10.10.2022,Vattenfall,19,EUR,kWh,0.2476,0.2947,10.731092437,12.77,2500,80,880,11,"[20,42]",Thermo Knob 139.99
GasKar39-21,GasKar39-21,Gas,Karlsgraben 39 EG,2021,01.10.2021,10.10.2022,Vattenfall,19,EUR,kWh,0.0689,0.082,13.42,15.97,12000,100,1100,11,"[20,173]",Thermo Knob 139.99
